Symbol,Observations,Observed Price,3-Month Mean,Z-Score,Action
MMM,63,130.8699951171875,112.3979987492637,0.013753211507959504,hold
AOS,63,81.26000213623047,82.58337135920449,-0.023275558664906604,hold
ABT,63,114.69499969482422,106.49393911210318,0.06958373231015742,hold
ABBV,63,197.7259979248047,178.61765931144592,0.015975188801799683,hold
ACN,63,341.9700012207031,314.0650058322483,0.011226292138458141,hold
ADBE,63,571.0399780273438,536.6468234592014,0.0036458273038873445,hold
AMD,63,136.94000244140625,154.51206388927642,-0.01164006732230723,hold
AES,63,16.752500534057617,17.836063687763517,-0.12339594586232949,hold
AFL,63,109.05000305175781,95.24106985425192,0.03327055064724675,hold
A,63,138.97000122070312,134.58025493319073,0.024946936727959897,hold
APD,63,275.20001220703125,269.02440267895895,0.008316082415137187,hold
ABNB,63,114.9800033569336,137.19634937104723,-0.012743506044067016,hold
AKAM,63,99.95999908447266,94.75698416573661,0.029164682789983666,hold
ALB,63,84.1500015258789,93.8294213915628,-0.011277633619113363,hold
ARE,63,118.45999908447266,117.23081582690043,0.008693607911074246,hold
ALGN,63,226.5,238.23873029436385,-0.0071130149522306,hold
ALLE,63,136.97999572753906,125.46152641659691,0.02129835030254216,hold
LNT,63,58.790000915527344,53.79986644926525,0.06424226980208833,hold
ALL,63,189.19000244140625,168.74829973493303,0.03112321427281886,hold
GOOGL,63,157.36000061035156,173.5388425796751,-0.022874593440266745,hold
GOOG,63,158.61000061035156,175.1493164546906,-0.023812414978552295,hold
MO,63,54.06999969482422,48.63371936858646,0.09015408740995537,hold
AMZN,63,176.25,182.7534923250713,-0.008110302550361152,hold
AMCR,63,11.300000190734863,10.285396833268424,0.5360890673467275,sell
AEE,63,83.26000213623047,76.00108131529792,0.03816793801840544,hold
AAL,63,10.600000381469727,10.661904743739537,-0.02053936730957494,hold
AEP,63,101.56999969482422,92.73852841816252,0.04211278907681179,hold
AXP,63,254.33299255371094,239.84051586332777,0.017784294643916444,hold
AIG,63,76.02999877929688,74.94498794797867,0.03541887186638302,hold
AMT,63,230.4199981689453,209.63360619923426,0.014382222173372945,hold
AWK,63,143.4499969482422,136.36297159346324,0.022937818375419826,hold
AMP,63,442.1199951171875,426.90433804951016,0.011025792848790746,hold
AME,63,166.7100067138672,167.11489989265564,-0.002072726786730832,hold
AMGN,63,330.510009765625,319.27889481801833,0.010630822274060368,hold
APH,63,61.93000030517578,65.95605922880627,-0.06385787120021173,hold
ADI,63,218.7100067138672,227.51984126984127,-0.01289591061430736,hold
ANSS,63,309.0199890136719,319.8873043968564,-0.02033124629721716,hold
AON,63,346.3800048828125,310.51534985739085,0.011484206295836016,hold
APA,63,26.739999771118164,29.181069480048286,-0.1923164136859487,buy
AAPL,63,222.77000427246094,218.30481320335753,0.005618478995829441,hold
AMAT,63,183.3699951171875,217.10111805749318,-0.009705129879038477,hold
APTV,63,70.12000274658203,71.31428600492931,-0.010734306807670282,hold
ACGL,63,113.25,100.45730203295511,0.0785990277055678,hold
ADM,63,60.630001068115234,60.74638239542643,-0.003959043604426691,hold
ANET,63,326.79998779296875,337.7819049169147,-0.0035743428367773166,hold
AJG,63,294.5,273.0291740780785,0.017133244536473448,hold
AIZ,63,196.67999267578125,174.60307118249318,0.028534544433050195,hold
T,63,20.448299407958984,18.82398820301843,0.39107031534576286,sell
ATO,63,131.83999633789062,122.07134682791573,0.03329247278143531,hold
ADSK,63,257.8299865722656,241.9426974341983,0.014346309816582171,hold
ADP,63,275.54998779296875,252.2764640687004,0.019798274694608004,hold
AZO,63,3145.929931640625,3005.0290411086307,0.0008646217065916669,hold
AVB,63,227.08999633789062,207.42648606073288,0.04030029289070209,hold
AVY,63,219.92999267578125,218.1595236157614,0.004680921960709798,hold
AXON,63,355.1600036621094,318.43968370225696,0.004149760813268452,hold
BKR,63,33.9900016784668,34.43882197425479,-0.020065863871211252,hold
BALL,64,63.90999984741211,63.07365084451342,,hold
BAC,63,40.70899963378906,40.08011960226392,0.032757661422488656,hold
BK,63,67.88500213623047,62.34873060196165,0.07142584510196186,hold
BBWI,63,30.5,36.92495697263687,-0.04041678040027777,hold
BAX,63,37.869998931884766,34.89958027430943,0.1567669533631445,sell
BDX,63,242.16000366210938,234.36170353965153,0.047823465081791194,hold
BRK-B,63,477.260009765625,428.26777915349084,0.016776249446700427,hold
BBY,63,100.95999908447266,86.69838290744357,0.1081425954996153,hold
BIO,63,334.9100036621094,304.50174628363715,0.007909455975478685,hold
TECH,63,71.7300033569336,75.05834113226996,-0.04146594931908915,hold
BIIB,63,204.83999633789062,218.13746110219805,-0.011400710211259288,hold
BLK,63,886.5900268554688,827.4834662543403,0.004548419514886936,hold
BX,63,138.22999572753906,130.20556362091548,0.015745478825835588,hold
BA,63,160.99000549316406,178.807619125124,-0.040067848707897764,hold
BKNG,63,3813.780029296875,3806.0420735677085,2.6189044189082595e-05,hold
BWA,64,33.09000015258789,32.95777796185206,,hold
BSX,63,81.13999938964844,76.98714313809833,0.16463338710168085,sell
BMY,63,50.540000915527344,44.38827599419488,0.05491322160593239,hold
AVGO,63,152.7899932861328,158.59633067297557,-0.005642404033829658,hold
BR,63,211.38999938964844,205.49105423215835,0.017683992783575707,hold
BRO,63,104.95999908447266,95.82135809035529,0.04083446917222815,hold
BF-B,63,45.849998474121094,44.039862314860024,0.20562311125509972,sell
BLDR,63,168.83999633789062,154.23333328489272,0.011924653119860875,hold
BG,63,99.33000183105469,103.9491950141059,-0.017034862773243956,hold
BXP,63,74.33000183105469,66.02170968434167,0.03878274034048212,hold
